SKU,ListID,MPN,SalesPrice,QuantityOnHand
LEG-WNAL50G1,8000196B-1698762422,WNAL50G1,136.91,0
LEG-WNAL23G1,8000196C-1698763670,WNAL23G1,91.1,0
LEG-WNAL23M1,8000180F-1657315677,WNAL23M1,91.1,2
LEG-WNAL23W1,8000186E-1666024996,WNAL23W1,84.94,0
LEG-WNAL63W1,8000186F-1666025158,WNAL63W1,87.43,3
LEG-WNAL63G1,8000196D-1698763686,WNAL63G1,95.83,0
LEG-WNAL63M1,800017B1-1650646964,WNAL63M1,95.83,0
LEG-ASTP1532W4,80000453-1380230449,ASTP1532W4,61.91,6
LEG-ASTP1532M4,8000044C-1380229281,ASTP1532M4,71.74,9
LEG-ASTP1532G4,8000134B-1561644728,ASTP1532G4,71.74,14
LEG-AWP3GWHW4,80000D31-1492794587,AWP3GWHW4,20.31,0
LEG-AWP3GMG4,80000A98-1450722466,AWP3GMG4,28.6,2
LEG-AWP3GBR4,8000085E-1412718870,AWP3GBR4,30.17,2
LEG-AWP3GWH4,8000045B-1380232728,AWP3GWH4,18,4
LEG-AWM3GMW4,80001339-1560543365,AWM3GMW4,101.45,0
LEG-AWP3GTM4,80000881-1414013941,AWP3GTM4,26.15,4
LEG-AWP3GGR4,80000901-1421274156,AWP3GGR4,28.6,0
LEG-AWM3GMS4,80000AD2-1454337869,AWM3GMS4,115.83,0
LEG-ASTH1532W2,8000043A-1380128478,ASTH1532W2,81.47,0
LEG-ASTH1532M2,80000441-1380130209,ASTH1532M2,93.51,0
LEG-ASTH1532G2,80001350-1561645722,ASTH1532G2,93.51,0
LEG-ADTH703TUM4,80001500-1592432031,ADTH703TUM4,132.64,1
LEG-ADTH703TUG4,80001351-1561645923,ADTH703TUG4,132.64,0
LEG-ADTH703TUW4,80000ED2-1509991575,ADTH703TUW4,115.27,0
LEG-AWP2GGR4,8000088F-1414776413,AWP2GGR4,20.31,0
LEG-AWP2GWH4,80000851-1412619365,AWP2GWH4,12.41,7
LEG-AWP2GMG4,80000A95-1450721953,AWP2GMG4,20.31,2
LEG-AWM2GMW4,80000C1A-1476712623,AWM2GMW4,73.15,0
LEG-AWM2GMS4,80000AD0-1454337198,AWM2GMS4,86.44,0
LEG-AWP2GTM4,80000869-1412894273,AWP2GTM4,19.23,4
LEG-AWP2GBR4,80000949-1427389937,AWP2GBR4,20.31,0
LEG-AWP2GWHW10,800014C8-1586359613,AWP2GWHW10,14.24,2
LEG-ARUSBW4,80000992-1434382045,ARUSBW4,32.49,0
LEG-ARUSBG4,80001360-1561659046,ARUSBG4,37.57,0
LEG-ARUSBM4,8000057A-1385577512,ARUSBM4,39.22,1
LEG-ACNRFCM1,800008BE-1417463789,ACNRFCM1,5.63,9
LEG-ACNRFCW1,800008FF-1421272657,ACNRFCW1,4.9,0
LEG-ASWR1532W4,800008D9-1418166181,ASWR1532W4,15.77,2
LEG-ASWR1532G4,80001349-1561644498,ASWR1532G4,18,0
LEG-ASWR1532M4,80000943-1427387412,ASWR1532M4,18,3
ECNA-LENU-2TO2,80001943-1691435700,LENU-2to2,2.5,60
ECNA-LENU-2TO4,80001745-1637341508,LENU-2to4,1.99,13
ECTL-CT2C5A,8000175A-1640021908,M5+M4-5A,57.36,0
SUP-C2R4N70W10CT,800019E0-1714592980,LS-COB-24-CCT,53.99,7
ESPC2R4N80W10CT,80001989-1702573568,FE16CP0G1COB9276524V840SW10RL05,99.99,0
